종목명,시가총액,매수시간,매도시간,보유시간,매수가,매도가,매수금액,매도금액,수익률,수익금,수익금합계,매도조건,추가매수시간,B_현재가,B_등락율,B_당일거래대금,B_거래대금증감,B_체결강도,B_시가총액,B_회전율,B_전일동시간비,B_매수총잔량,B_매도총잔량,B_시분초,B_분봉시가,B_분봉고가,B_분봉저가,S_현재가,S_등락율,S_체결강도,S_매수총잔량,S_매도총잔량,R_매수후최고수익률,R_매수후최저수익률,R_MFE,R_MAE
오파스넷,1452,202504071000,202504071312,192,10800,11130,993600,1021827,2.84,28227,28227,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,10790.0,11.81,16801.0,-16213811575.0,114.79,1408.0,12.58,1184.54,11825.0,31680.0,100000,10700.0,10820.0,10690.0,11130.0,15.34,95.17,5738.0,4579.0,5.34,-3.54,5.34,-3.54
DSC인베스트먼트,1422,202504071000,202504071055,55,5330,5160,996710,962904,-3.39,-33806,-5579,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,5330.0,18.84,26704.0,15110802705.0,126.31,1466.0,19.28,2987.32,33790.0,136301.0,100000,5310.0,5330.0,5300.0,5170.0,15.27,112.29,62548.0,9201.0,1.48,-3.2,1.48,-3.2
오리엔트정공,4523,202504071000,202504071518,318,14040,14240,996840,1008931,1.21,12091,6512,전략종료청산,,14030.0,6.53,109713.0,-760310333085.0,98.34,4454.0,24.79,105.55,54207.0,27411.0,100000,14010.0,14040.0,14000.0,14250.0,8.2,93.11,49009.0,28036.0,4.63,-0.78,4.63,-0.78
웹케시,2605,202504071001,202504071221,140,19510,19100,995010,972067,-2.31,-22943,-16431,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,19500.0,11.75,78793.0,-109456122335.0,107.26,2659.0,30.17,144.48,6470.0,3187.0,100100,19440.0,19550.0,19440.0,19100.0,9.46,98.94,6818.0,10273.0,3.32,-2.31,3.32,-2.31
에이텍,2858,202504071001,202504071353,232,33800,34550,980200,999857,2.01,19657,3226,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,33750.0,4.98,17218.0,-143290725325.0,100.69,2788.0,6.2,91.83,5411.0,4791.0,100100,33700.0,33850.0,33700.0,34600.0,7.62,100.73,5447.0,3659.0,5.55,-0.8,5.55,-0.8
대상홀딩스,6261,202504071002,202504071321,199,15904,17280,986048,1069132,8.43,83084,86310,"        if 5 < 최고수익률 and 현재가N(1) >= 이동평균(60, 1) and 이동평균(60) > 현재가:",,15880.0,13.35,48139.0,-74575909795.0,114.11,5751.0,8.8,796.01,16241.0,12432.0,100200,15770.0,15910.0,15740.0,17290.0,23.41,101.39,17766.0,12975.0,9.93,-0.61,9.93,-0.61
평화산업,980,202504071002,202504071126,84,1878,1785,1002852,951185,-5.15,-51667,34643,    elif 수익률 <= -5.0:,,1872.0,17.0,25918.0,-16081410298.0,109.19,1028.0,26.71,550.97,16799.0,24191.0,100200,1844.0,1878.0,1843.0,1785.0,11.56,99.4,33361.0,17508.0,3.62,-5.15,3.62,-5.15
대영포장,2040,202504071003,202504071409,246,1977,1882,998385,948420,-5.0,-49965,-15322,    elif 수익률 <= -5.0:,,1977.0,11.38,45270.0,-24011434882.0,109.22,2143.0,22.1,1593.0,51151.0,185908.0,100300,1967.0,1984.0,1956.0,1882.0,6.03,91.77,58794.0,5562.0,3.22,-5.0,3.22,-5.0
오리엔트바이오,2261,202504071005,202504071454,289,1943,1907,998702,978154,-2.06,-20548,-35870,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,1942.0,4.3,21042.0,-162622725126.0,88.29,2303.0,9.22,67.73,33738.0,57518.0,100500,1929.0,1943.0,1928.0,1907.0,2.42,84.83,133613.0,8121.0,1.02,-2.06,1.02,-2.06
플랜티넷,645,202504071005,202504071109,64,4075,3880,1002450,952472,-4.99,-49978,-85848,"elif 보유시간 > 10 and 현재가 < 최저현재가(30, 보유시간):",,4065.0,19.56,18870.0,-5497065508.0,99.0,676.0,28.93,1914.61,11855.0,53416.0,100500,4045.0,4080.0,4040.0,3880.0,14.12,91.94,18142.0,31061.0,1.63,-4.99,1.63,-4.99
